Base,63,Christian Vazquez,Boston Red Sox,,,,,,
Base,64,Tim Anderson,Chicago White Sox,,,,,,
Base,65,Austin Hedges,Cleveland Guardians,,,,,,
Base,66,Connor Wong,Boston Red Sox,RC,,,,,
Base,67,Freddy Galvis,Philadelphia Phillies,,,,,,
Base,68,Alex Bregman,Houston Astros,,,,,,
Base,69,Corey Kluber,New York Yankees,,,,,,
Base,70,Ryan Weathers,San Diego Padres,,,,,,
Base,71,Ernie Clement,Cleveland Guardians,RC,,,,,
Base,72,Pedro Severino,Baltimore Orioles,,,,,,
Base,73,Johnny Cueto,San Francisco Giants,,,,,,
Base,74,Merrill Kelly,Arizona Diamondbacks,,,,,,
Base,75,Christian Walker,Arizona Diamondbacks,,,,,,
Base,76,Nicky Lopez,Kansas City Royals,,,,,,
Base,77,Josh Naylor,Cleveland Guardians,,,,,,
Base,78,Aaron Ashby,Milwaukee Brewers,RC,,,,,
Base,79,Trey Mancini,Baltimore Orioles,,,,,,
Base,80,Mitch Haniger,Seattle Mariners,,,,,,
Base,81,Jesse Winker,Cincinnati Reds,,,,,,
Base,82,Charlie Morton,Atlanta Braves,,,,,,
Base,83,Will Smith,Los Angeles Dodgers,,,,,,
Base,84,Jose Abreu,Chicago White Sox,,,,,,
Base,85,Rodolfo Castro,Pittsburgh Pirates,RC,,,,,
Base,86,Kris Bryant,San Francisco Giants,,,,,,
Base,87,Nolan Arenado,St. Louis Cardinals,,,,,,
Base,88,Travis Shaw,Boston Red Sox,,,,,,
Base,89,Jorge Mateo,Baltimore Orioles,,,,,,
Base,90,Enrique Hernandez,Boston Red Sox,,,,,,
Base,91,Kyle Seager,Seattle Mariners,,,,,,
Base,92,Avisail Garcia,Milwaukee Brewers,,,,,,
Base,93,Isiah Kiner-Falefa,Texas Rangers,,,,,,
Base,94,Cedric Mullins,Baltimore Orioles,,,,,,
Base,95,Chad Pinder,Oakland Athletics,,,,,,
Base,96,Cincinnati Reds,Cincinnati Reds,- Team Card,,,,,
Base,97,Curtis Terry,Texas Rangers,RC,,,,,
Base,98,Francisco Lindor,New York Mets,- Combo Card,,,,,
Base,99,Aaron Judge,New York Yankees,,,,,,
Base,100,Fernando Tatis Jr.,San Diego Padres,,,,,,
Base,101,Clint Frazier,New York Yankees,,,,,,
Base,102,Ian Kennedy,Philadelphia Phillies,,,,,,
Base,103,Mike Yastrzemksi,San Francisco Giants,,,,,,
Base,104,Nelson Cruz,Tampa Bay Rays,,,,,,
Base,105,Julio Urias / Adam Wainwright / Walker Buehler,Los Angeles Dodgers,- LL: NL Wins,,,,,
Base,105,Julio Urias / Adam Wainwright / Walker Buehler,St. Louis Cardinals,- LL: NL Wins,,,,,
Base,106,Pavin Smith,Arizona Diamondbacks,,,,,,
Base,107,Luis Robert,Chicago White Sox,,,,,,
Base,108,Zach Pop,Miami Marlins,RC,,,,,
Base,109,Toronto Blue Jays,Toronto Blue Jays,- Team Card,,,,,
Base,110,Yordan Alvarez,Houston Astros,- Combo Card,,,,,
Base,111,Tony Santillan,Cincinnati Reds,RC,,,,,
Base,112,Marco Gonzales,Seattle Mariners,,,,,,
Base,113,Brock Holt,Texas Rangers,,,,,,
Base,114,Tony Kemp,Oakland Athletics,,,,,,
Base,115,Austin Riley,Atlanta Braves,,,,,,
Base,116,Alcides Escobar,Washington Nationals,,,,,,
Base,117,Brandon Crawford,San Francisco Giants,,,,,,
Base,118,Alex Wells,Baltimore Orioles,RC,,,,,
Base,119,Gleyber Torres,New York Yankees,- Combo Card,,,,,
Base,120,Andrew Vaughn,Chicago White Sox,- Future Stars,,,,,
Base,121,New York Yankees,New York Yankees,- Team Card,,,,,
Base,122,Shohei Ohtani,Los Angeles Angels,- Combo Card,,,,,
Base,123,Miguel Sano,Minnesota Twins,,,,,,
Base,124,San Diego Padres,San Diego Padres,- Team Card,,,,,
Base,125,Fernando Tatis Jr.,San Diego Padres,- Combo Card,,,,,
Base,126,Bo Bichette,Toronto Blue Jays,,,,,,
Base,127,Zack Wheeler / Max Scherzer / Corbin Burnes,Philadelphia Phillies,- LL: NL Strikeouts,,,,,
Base,127,Zack Wheeler / Max Scherzer / Corbin Burnes,Los Angeles Dodgers,- LL: NL Strikeouts,,,,,
Base,127,Zack Wheeler / Max Scherzer / Corbin Burnes,Milwaukee Brewers,- LL: NL Strikeouts,,,,,
Base,128,Matthew Boyd,Detroit Tigers,,,,,,
